manager_id,year,team_id
gardero01,2010,MIN
girarjo01,2010,NYA
gerenbo01,2010,OAK
wakamdo01,2010,SEA
brownda99,2010,SEA
maddojo99,2010,TBA
washiro01,2010,TEX
gastoci01,2010,TOR
hinchaj01,2010,ARI
gibsoki01,2010,ARI
coxbo01,2010,ATL
pinielo01,2010,CHN
quademi99,2010,CHN
bakerdu01,2010,CIN
tracyji01,2010,COL
gonzafr99,2010,FLO
rodried02,2010,FLO
millsbr01,2010,HOU
torrejo01,2010,LAN
machake01,2010,MIL
manueje01,2010,NYN
manuech01,2010,PHI
russejo02,2010,PIT
blackbu02,2010,SDN
bochybr01,2010,SFN
larusto01,2010,SLN
rigglji99,2010,WAS
showabu99,2011,BAL
francte01,2011,BOS
guilloz01,2011,CHA
coopedo01,2011,CHA
actama99,2011,CLE
leylaji99,2011,DET
yostne01,2011,KCA
sciosmi01,2011,LAA
gardero01,2011,MIN
girarjo01,2011,NYA
gerenbo01,2011,OAK
melvibo01,2011,OAK
wedgeer01,2011,SEA
maddojo99,2011,TBA
washiro01,2011,TEX
farrejo03,2011,TOR
gibsoki01,2011,ARI
gonzafr99,2011,ATL
quademi99,2011,CHN
bakerdu01,2011,CIN
tracyji01,2011,COL
rodried02,2011,FLO
hydebr99,2011,FLO
mckeoja99,2011,FLO
millsbr01,2011,HOU
mattido01,2011,LAN
roeniro01,2011,MIL
collite99,2011,NYN
manuech01,2011,PHI
hurdlcl01,2011,PIT
blackbu02,2011,SDN
bochybr01,2011,SFN
larusto01,2011,SLN
rigglji99,2011,WAS
mclarjo99,2011,WAS
johnsda02,2011,WAS
showabu99,2012,BAL
valenbo02,2012,BOS
venturo01,2012,CHA
actama99,2012,CLE
alomasa02,2012,CLE
leylaji99,2012,DET
yostne01,2012,KCA
sciosmi01,2012,LAA
gardero01,2012,MIN
girarjo01,2012,NYA
melvibo01,2012,OAK
wedgeer01,2012,SEA
maddojo99,2012,TBA
washiro01,2012,TEX
farrejo03,2012,TOR
gibsoki01,2012,ARI
gonzafr99,2012,ATL
sveumda01,2012,CHN
bakerdu01,2012,CIN
tracyji01,2012,COL
guilloz01,2012,MIA
millsbr01,2012,HOU
defrato99,2012,HOU
mattido01,2012,LAN
roeniro01,2012,MIL
collite99,2012,NYN
manuech01,2012,PHI
hurdlcl01,2012,PIT
blackbu02,2012,SDN
bochybr01,2012,SFN
mathemi01,2012,SLN
johnsda02,2012,WAS
showabu99,2013,BAL
farrejo03,2013,BOS
venturo01,2013,CHA
francte01,2013,CLE
leylaji99,2013,DET
yostne01,2013,KCA
sciosmi01,2013,LAA
gardero01,2013,MIN
girarjo01,2013,NYA
melvibo01,2013,OAK
wedgeer01,2013,SEA
maddojo99,2013,TBA
washiro01,2013,TEX
gibbojo02,2013,TOR
gibsoki01,2013,ARI
gonzafr99,2013,ATL
sveumda01,2013,CHN
bakerdu01,2013,CIN
weisswa01,2013,COL
portebo03,2013,HOU
mattido01,2013,LAN
redmomi01,2013,MIA
roeniro01,2013,MIL
collite99,2013,NYN
manuech01,2013,PHI
sandbry01,2013,PHI
hurdlcl01,2013,PIT
blackbu02,2013,SDN
bochybr01,2013,SFN
mathemi01,2013,SLN
johnsda02,2013,WAS
gibsoki01,2014,ARI
trammal01,2014,ARI
gonzafr99,2014,ATL
showabu99,2014,BAL
farrejo03,2014,BOS
venturo01,2014,CHA
renteri01,2014,CHN
pricebr99,2014,CIN
francte01,2014,CLE
weisswa01,2014,COL
ausmubr01,2014,DET
portebo03,2014,HOU
lawleto01,2014,HOU
yostne01,2014,KCA
sciosmi01,2014,LAA
mattido01,2014,LAN
redmomi01,2014,MIA
roeniro01,2014,MIL
gardero01,2014,MIN
girarjo01,2014,NYA
collite99,2014,NYN
melvibo01,2014,OAK
sandbry01,2014,PHI
hurdlcl01,2014,PIT
blackbu02,2014,SDN
mcclell01,2014,SEA
bochybr01,2014,SFN
mathemi01,2014,SLN
maddojo99,2014,TBA
washiro01,2014,TEX
bogarti01,2014,TEX
gibbojo02,2014,TOR
willima04,2014,WAS
showabu99,2015,BAL
farrejo03,2015,BOS
venturo01,2015,CHA
francte01,2015,CLE
ausmubr01,2015,DET
hinchaj01,2015,HOU
yostne01,2015,KCA
sciosmi01,2015,LAA
molitpa01,2015,MIN
girarjo01,2015,NYA
melvibo01,2015,OAK
mcclell01,2015,SEA
cashke01,2015,TBA
banisje01,2015,TEX
gibbojo02,2015,TOR
halech01,2015,ARI
gonzafr99,2015,ATL
maddojo99,2015,CHN
pricebr99,2015,CIN
weisswa01,2015,COL
mattido01,2015,LAN
redmomi01,2015,MIA
jennida99,2015,MIA
roeniro01,2015,MIL
counscr01,2015,MIL
collite99,2015,NYN
sandbry01,2015,PHI
mackape01,2015,PHI
hurdlcl01,2015,PIT
blackbu02,2015,SDN
roberda07,2015,SDN
murphpa99,2015,SDN
bochybr01,2015,SFN
mathemi01,2015,SLN
willima04,2015,WAS
